GEO_UNIT,COM_UNIT,GEO_SUB,COM_SUB,GEO_SECT,COM_SECT,GEO_DIST,COM_DIST,POSTAREA,X_COORD,Y_COORD,USER_,DELR,DELN,DELL,DELALL,WARD,NHS,POSTTOWN,CL_STD,CL_3,CL_6,CL_15,CL_45,CL_150,CL_STD_Txt,CL_3_Txt,CL_6_Txt,CL_15_Txt,CL_45_Txt,CL_150_Txt,SAND,SAND_Txt,SILT,SILT_Txt,SOFT,SOFT_Txt,PEAT,PEAT_Txt,FLOOD,FLOOD_Txt,Exp,Exp_Txt
PO301AB,PO30 1AB,PO301A,PO30 1A,PO301,PO30 1,PO30,PO30,PO,449764,89151,L,0,0,1,1,MWQD,Q38,NEWPORT,3,2,2,2,2,2,Medium High,High,High,High,High,High,2,Minimal,0,At Risk,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301AE,PO30 1AE,PO301A,PO30 1A,PO301,PO30 1,PO30,PO30,PO,449800,88500,R,28,0,0,28,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301AF,PO30 1AF,PO301A,PO30 1A,PO301,PO30 1,PO30,PO30,PO,449700,88500,R,13,0,0,13,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301AG,PO30 1AG,PO301A,PO30 1A,PO301,PO30 1,PO30,PO30,PO,450138,89124,R,5,0,0,5,MWQD,Q38,NEWPORT,3,2,2,2,2,2,Medium High,High,High,High,High,High,2,Minimal,0,At Risk,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301AH,PO30 1AH,PO301A,PO30 1A,PO301,PO30 1,PO30,PO30,PO,449707,88506,R,15,0,0,15,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301AJ,PO30 1AJ,PO301A,PO30 1A,PO301,PO30 1,PO30,PO30,PO,449704,89011,N,0,1,0,1,MWQD,Q38,NEWPORT,3,2,2,2,2,2,Medium High,High,High,High,High,High,2,Minimal,0,At Risk,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301AL,PO30 1AL,PO301A,PO30 1A,PO301,PO30 1,PO30,PO30,PO,450244,88030,R,6,0,0,6,MWQB,Q38,NEWPORT,8,8,8,8,8,8,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301AN,PO30 1AN,PO301A,PO30 1A,PO301,PO30 1,PO30,PO30,PO,449728,88505,R,10,0,0,10,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301AP,PO30 1AP,PO301A,PO30 1A,PO301,PO30 1,PO30,PO30,PO,450125,89111,R,6,0,0,6,MWQD,Q38,NEWPORT,3,2,2,2,2,2,Medium High,High,High,High,High,High,2,Minimal,0,At Risk,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301AR,PO30 1AR,PO301A,PO30 1A,PO301,PO30 1,PO30,PO30,PO,450044,89055,R,26,0,0,26,MWQD,Q38,NEWPORT,3,2,2,2,2,2,Medium High,High,High,High,High,High,2,Minimal,0,At Risk,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301AS,PO30 1AS,PO301A,PO30 1A,PO301,PO30 1,PO30,PO30,PO,449694,88930,R,11,0,0,11,MWQD,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
